name,CMC,Type,Color,Set,Collector Number,Rarity,Color Category,status,Finish,maybeboard,image URL,image Back URL,tags,Notes,MTGO ID
"Danitha Capashen, Paragon",3,"Legendary Creature - Human Knight",W,"dom","12",uncommon,White,Owned,,false,,,"WB Knights;WR Voltron","",67489
"Distracting Geist",3,"Creature - Spirit",W,"vow","9",uncommon,White,Owned,,false,,,"","",94300
"Gryff Rider",3,"Creature - Human Knight",W,"vow","15",common,White,Owned,Non-foil,false,,,"WU Fliers ;WB Knights","",94318
"Guardian of Faith",3,"Creature - Spirit Knight",W,"afr","18",rare,White,Owned,,false,,,"","",91538
"Hanged Executioner",3,"Creature - Spirit",W,"m20","22",rare,White,Owned,,false,,,"","",72943
"Katilda, Dawnhart Martyr",3,"Legendary Creature - Spirit Warlock",W,"vow","21",rare,White,Owned,,false,,,"","",94330
"Knight Exemplar",3,"Creature - Human Knight",W,"m11","20",rare,White,Owned,,false,,,"WB Knights","",37336
"Thalia, Heretic Cathar",3,"Legendary Creature - Human Soldier",W,"prm","61545",rare,White,Owned,,false,,,"WR Aggro;Bomb","",61545
"Halvar, God of Battle // Sword of the Realms",4,"Legendary Creature - God",W,"khm","15",mythic,White,Owned,,false,,,"","",87349
"Serra Paragon",4,"Creature - Angel",W,"dmu","32",mythic,White,Owned,,false,,,"","",102540
"Valiant Knight",4,"Creature - Human Knight",W,"m19","42",rare,White,Owned,Non-foil,false,,,"WB Knights","",68245
"Windborn Muse",4,"Creature - Spirit",W,"lgn","28",rare,White,Owned,,false,,,"","",18599
"Angel of Invention",5,"Creature - Angel",W,"kld","4",mythic,White,Owned,,false,,,"","",61887
"Danitha, Benalia's Hope",5,"Legendary Creature - Human Knight",W,"dmu","15",rare,White,Owned,,false,,,"","",102506
"Gods Willing",1,"Instant",W,"ths","16",common,White,Owned,,false,,,"WR Voltron;Protection","",50478
"Loran's Escape",1,"Instant",W,"bro","14",common,White,Owned,,false,,,"WR Voltron;Protection","",104646
"Adamant Will",2,"Instant",W,"vow","1",common,White,Owned,Non-foil,false,,,"WR Voltron;Protection","",94284
"Dauntless Unity",2,"Instant",W,"znr","9",common,White,Owned,,false,,,"WG Tokens;WR Aggro","",82953
"You Hear Something on Watch",2,"Instant",W,"afr","42",common,White,Owned,Non-foil,false,,,"WG Tokens;WR Aggro;Removal","",91586
"Iron Verdict",3,"Instant",W,"khm","17",common,White,Owned,Non-foil,false,,,"Removal","",87355
"Kaya's Onslaught",3,"Instant",W,"khm","18",uncommon,White,Owned,Non-foil,false,,,"WR Voltron","",87357
"Midnight Haunting",3,"Instant",W,"isd","22",uncommon,White,Owned,,false,,,"","",42354
"Entreat the Angels",3,"Sorcery",W,"plst","MM3-4",mythic,White,Owned,Non-foil,false,,,"General","",
"Ancestral Blade",2,"Artifact - Equipment",W,"m20","3",uncommon,White,Owned,,false,,,"WR Voltron;WR Aggro","",72905
"Dancing Sword",2,"Artifact - Equipment",W,"afr","360",rare,White,Owned,Non-foil,false,,,"WR Voltron;WU Fliers ","",
"Glass Casket",2,"Artifact",W,"eld","15",uncommon,White,Owned,Non-foil,false,,,"Removal","",78122
"Greatsword of Tyr",2,"Artifact - Equipment",W,"clb","22",common,White,Owned,,false,,,"WR Voltron","",100036
"Maul of the Skyclaves",3,"Artifact - Equipment",W,"znr","27",rare,White,Owned,,false,,,"WR Voltron;WR Aggro","",82995
"Hyena Umbra",1,"Enchantment - Aura",W,"roe","26",common,White,Owned,,false,,,"WR Voltron","",36756
"History of Benalia",3,"Enchantment - Saga",W,"dom","21",mythic,White,Owned,,false,,,"WB Knights","",67507
"Faerie Seer",1,"Creature - Faerie Wizard",U,"mh1","51",common,Blue,Owned,,false,,,"","",72474
"Lantern Bearer",1,"Creature - Spirit",U,"vow","66",common,Blue,Owned,,false,,,"","",94440
"Mausoleum Wanderer",1,"Creature - Spirit",U,"emn","69",rare,Blue,Owned,,false,,,"","",61138
"Siren Stormtamer",1,"Creature - Siren Pirate Wizard",U,"xln","79",uncommon,Blue,Owned,,false,,,"","",65172
"Spectral Sailor",1,"Creature - Spirit Pirate",U,"m20","76",uncommon,Blue,Owned,,false,,,"WU Fliers ;UB Ninjas;UR Spellslinger;UG Ramp Control;Card Advantage","",73051
"Thousand-Faced Shadow",1,"Creature - Human Ninja",U,"neo","86",rare,Blue,Owned,,false,,,"UB Ninjas","",97092
"Baral, Chief of Compliance",2,"Legendary Creature - Human Wizard",U,"aer","28",rare,Blue,Owned,,false,,,"UG Ramp Control;UR Spellslinger","",62653
"Brineborn Cutthroat",2,"Creature - Merfolk Pirate",U,"j25","291",uncommon,Blue,Owned,,false,,,"","",
"Hypnotic Sprite",2,"Creature - Faerie",U,"eld","49",uncommon,Blue,Owned,Non-foil,false,,,"WU Fliers ;UB Ninjas;UR Spellslinger;UG Ramp Control;Removal","",78204
"Mercurial Spelldancer",2,"Creature - Phyrexian Rogue",U,"one","61",rare,Blue,Owned,,false,,,"","",106337
"Moon-Circuit Hacker",2,"Enchantment Creature - Human Ninja",U,"neo","67",common,Blue,Owned,,false,,,"UB Ninjas;Card Advantage","",97054
"Rattlechains",2,"Creature - Spirit",U,"soi","81",rare,Blue,Owned,,false,,,"","",59790
"Shacklegeist",2,"Creature - Spirit",U,"m21","70",rare,Blue,Owned,,false,,,"","",81367
"Supreme Phantom",2,"Creature - Spirit",U,"m19","76",rare,Blue,Owned,,false,,,"","",68313
"Thieving Skydiver",2,"Creature - Merfolk Rogue",U,"znr","85",rare,Blue,Owned,Non-foil,false,,,"WU Fliers ;Removal","",83127
"Thing in the Ice",2,"Creature - Horror",U,"soi","92",rare,Blue,Owned,,false,,,"","",59868
"Brazen Borrower",3,"Creature - Faerie Rogue",U,"eld","39",mythic,Blue,Owned,Non-foil,false,,,"WU Fliers ;UB Ninjas;Removal;Card Advantage","",78180
"Cemetery Illuminator",3,"Creature - Spirit",U,"vow","50",mythic,Blue,Owned,,false,,,"","",94404
"Chrome Host Seedshark",3,"Creature - Phyrexian Shark",U,"mom","51",rare,Blue,Owned,,false,,,"","",109916
"Dreamshackle Geist",3,"Creature - Spirit",U,"vow","58",rare,Blue,Owned,Non-foil,false,,,"WU Fliers ","",94420
"Haughty Djinn",3,"Creature - Djinn",U,"dmu","52",rare,Blue,Owned,,false,,,"UR Spellslinger;UG Ramp Control","",102580
"Mist-Syndicate Naga",3,"Creature - Snake Ninja",U,"mh1","58",rare,Blue,Owned,,false,,,"UB Ninjas","",72488
"Nebelgast Herald",3,"Creature - Spirit",U,"emn","71",uncommon,Blue,Owned,,false,,,"","",61122
"Patrician Geist",3,"Creature - Spirit Knight",U,"mid","69",rare,Blue,Owned,,false,,,"","",93082
"Prosperous Thief",3,"Creature - Human Ninja",U,"neo","73",uncommon,Blue,Owned,,false,,,"UB Ninjas","",97066
"God-Eternal Kefnet",4,"Legendary Creature - Zombie God",U,"war","53",mythic,Blue,Owned,,false,,,"","",71712
"Ninja of the Deep Hours",4,"Creature - Human Ninja",U,"bok","44",common,Blue,Owned,,false,,,"UB Ninjas;Card Advantage","",21827
"Spectral Arcanist",4,"Creature - Spirit Wizard",U,"voc","15",rare,Blue,Owned,,false,,,"","",95188
"Sphinx of Forgotten Lore",4,"Creature - Sphinx",U,"fdn","51",mythic,Blue,Owned,,false,,,"","",133670
"Venser, Shaper Savant",4,"Legendary Creature - Human Wizard",U,"j25","66",rare,Blue,Owned,,false,,,"","",132710
"Teferi, Mage of Zhalfir",5,"Legendary Creature - Human Wizard",U,"plst","IMA-75",rare,Blue,Owned,,false,,,"","",
"Voracious Greatshark",5,"Creature - Shark",U,"j25","382",rare,Blue,Owned,,false,,,"","",
"Horned Loch-Whale",6,"Creature - Whale",U,"woe","53",rare,Blue,Owned,,false,,,"","",116406
"Torrential Gearhulk",6,"Artifact Creature - Construct",U,"kld","67",mythic,Blue,Owned,,false,,,"","",61917
"Brainstorm",1,"Instant",U,"c21","115",common,Blue,Owned,,false,,,"UR Spellslinger","",89331
"Fading Hope",1,"Instant",U,"j25","310",uncommon,Blue,Owned,,false,,,"","",
"Opt",1,"Instant",U,"sta","19",uncommon,Blue,Owned,Non-foil,false,,,"UR Spellslinger","",89095
"Counterspell",2,"Instant",U,"sta","15",rare,Blue,Owned,Non-foil,false,,,"UR Spellslinger;UG Ramp Control;Removal;Bomb","",89087
"Essence Scatter",2,"Instant",U,"m10","51",common,Blue,Owned,,false,,,"UR Spellslinger;UG Ramp Control;Removal","",32647
"Ertai's Scorn",3,"Instant",U,"dmu","48",uncommon,Blue,Owned,,false,,,"UR Spellslinger;UG Ramp Control;Removal","",102572
"Geistlight Snare",3,"Instant",U,"vow","60",uncommon,Blue,Owned,,false,,,"","",94424
"Saw It Coming",3,"Instant",U,"khm","76",uncommon,Blue,Owned,Non-foil,false,,,"UR Spellslinger;UG Ramp Control;Removal","",87479
"Thirst for Discovery",3,"Instant",U,"dbl","352",uncommon,Blue,Owned,,false,,,"","",95768
"Meeting of Minds",4,"Instant",U,"mom","66",common,Blue,Owned,,false,,,"","",109956
"Memory Deluge",4,"Instant",U,"inr","75",rare,Blue,Owned,,false,,,"","",135532
"Aetherspouts",5,"Instant",U,"m15","44",rare,Blue,Owned,,false,,,"UR Spellslinger;UG Ramp Control;Removal","",53542
"Mystic Confluence",5,"Instant",U,"c15","14",rare,Blue,Owned,,false,,,"UR Spellslinger;UG Ramp Control;Removal;Card Advantage","",
"Sublime Epiphany",6,"Instant",U,"m21","74",rare,Blue,Owned,,false,,,"","",81375
"Dig Through Time",8,"Instant",U,"ktk","36",rare,Blue,Owned,,false,,,"UR Spellslinger;UG Ramp Control;Card Advantage","",54316
"Inspired Idea",3,"Sorcery",U,"vow","64",rare,Blue,Owned,Non-foil,false,,,"General;Card Advantage","",94434
"Shark Typhoon",6,"Enchantment",U,"dsc","127",rare,Blue,Owned,,false,,,"","",130877
"Battlefly Swarm",1,"Creature - Phyrexian Insect",B,"dmu","81",common,Black,Owned,,false,,,"","",102638
"Bloodsoaked Champion",1,"Creature - Human Warrior",B,"ktk","66",rare,Black,Owned,,false,,,"BR Aggro","",54172
"Changeling Outcast",1,"Creature - Shapeshifter",B,"mh1","82",common,Black,Owned,,false,,,"","",72536
"Cult Conscript",1,"Creature - Skeleton Warrior",B,"dmu","88",uncommon,Black,Owned,,false,,,"BR Aggro","",102652
"Forsworn Paladin",1,"Creature - Human Knight",B,"afr","104",rare,Black,Owned,Non-foil,false,,,"WB Knights;BR Aggro","",91710
"Foulmire Knight",1,"Creature - Zombie Knight",B,"eld","90",uncommon,Black,Owned,Non-foil,false,,,"WB Knights;UB Ninjas;Card Advantage","",78292
"Knight of the Ebon Legion",1,"Creature - Vampire Knight",B,"m20","105",rare,Black,Owned,Non-foil,false,,,"WB Knights;BR Aggro;Bomb","",73109
"Vampire of the Dire Moon",1,"Creature - Vampire",B,"j25","504",uncommon,Black,Owned,,false,,,"","",
"Ayara's Oathsworn",2,"Creature - Human Knight",B,"mat","11",rare,Black,Owned,,false,,,"WB Knights;BR Aggro","",109144
"Blacklance Paragon",2,"Creature - Human Knight",B,"eld","79",rare,Black,Owned,Non-foil,false,,,"WB Knights;BG Lifegain","",78270
"Creeping Bloodsucker",2,"Creature - Vampire",B,"j22","21",common,Black,Owned,,false,,,"","",
"Ghastly Gloomhunter",2,"Creature - Zombie Bat",B,"znr","103",common,Black,Owned,Non-foil,false,,,"UB Ninjas;BG Lifegain","",83169
"Knight of Dusk's Shadow",2,"Creature - Human Knight",B,"dmu","96",uncommon,Black,Owned,,false,,,"WB Knights;WR Aggro","",102668
"Nezumi Prowler",2,"Artifact Creature - Rat Ninja",B,"neo","116",uncommon,Black,Owned,,false,,,"UB Ninjas;BG Lifegain","",97156
"Nullpriest of Oblivion",2,"Creature - Vampire Cleric",B,"j25","472",rare,Black,Owned,,false,,,"","",
"Smitten Swordmaster",2,"Creature - Human Knight",B,"eld","105",common,Black,Owned,Non-foil,false,,,"WB Knights;BG Lifegain","",78330
"Tenacious Underdog",2,"Creature - Human Warrior",B,"snc","97",rare,Black,Owned,Non-foil,false,,,"BR Aggro;BG Control;Card Advantage;Bomb","",98413
"Belle of the Brawl",3,"Creature - Human Knight",B,"eld","78",uncommon,Black,Owned,Non-foil,false,,,"WB Knights","",78268
"Biting-Palm Ninja",3,"Creature - Human Ninja",B,"neo","88",rare,Black,Owned,,false,,,"UB Ninjas","",97096
"Bloodthirsty Aerialist",3,"Creature - Vampire Rogue",B,"m20","91",uncommon,Black,Owned,Non-foil,false,,,"BG Lifegain","",73081
"Gumdrop Poisoner",3,"Creature - Human Warlock",B,"woe","93",rare,Black,Owned,,false,,,"","",116500
"Marauding Blight-Priest",3,"Creature - Vampire Cleric",B,"znr","112",common,Black,Owned,,false,,,"","",83191
"Midnight Reaper",3,"Creature - Zombie Knight",B,"grn","77",rare,Black,Owned,,false,,,"WB Knights;BG Control","",69527
"Murderous Rider",3,"Creature - Zombie Knight",B,"eld","97",rare,Black,Owned,Non-foil,false,,,"BG Control;BG Lifegain;WB Knights;Removal;Bomb","",78308
"Nighthawk Scavenger",3,"Creature - Vampire Rogue",B,"znr","115",rare,Black,Owned,,false,,,"","",83197
"Royal Assassin",3,"Creature - Human Assassin",B,"m10","110",rare,Black,Owned,Non-foil,false,,,"BG Control;Removal","",33025
"Vito, Thorn of the Dusk Rose",3,"Legendary Creature - Vampire Cleric",B,"m21","127",rare,Black,Owned,,false,,,"","",81481
"Azra Smokeshaper",4,"Creature - Azra Ninja",B,"mh1","79",common,Black,Owned,,false,,,"UB Ninjas","",72530
"Ebondeath, Dracolich",4,"Legendary Creature - Zombie Dragon",B,"afr","100",mythic,Black,Owned,Non-foil,false,,,"BG Control","",91702
"Mukotai Ambusher",4,"Artifact Creature - Rat Ninja",B,"neo","112",common,Black,Owned,,false,,,"BG Lifegain;UB Ninjas","",97148
"Ravenous Chupacabra",4,"Creature - Beast Horror",B,"rix","82",uncommon,Black,Owned,Non-foil,false,,,"BG Control;Removal","",66617
"Tivash, Gloom Summoner",5,"Legendary Creature - Human Warlock",B,"c21","45",rare,Black,Owned,Non-foil,false,,,"BG Lifegain","",89833
"Witch of the Moors",5,"Creature - Human Warlock",B,"jmp","18",rare,Black,Owned,,false,,,"","",81783
"Noxious Gearhulk",6,"Artifact Creature - Construct",B,"tdc","191",mythic,Black,Owned,,false,,,"","",138319
"Vein Ripper",6,"Creature - Vampire Assassin",B,"mkm","110",mythic,Black,Owned,,false,,,"","",121698
"Cut Down",1,"Instant",B,"dmu","89",uncommon,Black,Owned,,false,,,"BR Aggro;BG Control;Removal","",102654
"Dark Ritual",1,"Instant",B,"a25","82",common,Black,Owned,,false,,,"BG Control","",67078
"Feign Death",1,"Instant",B,"afr","103",common,Black,Owned,Non-foil,false,,,"Protection","",91708
"Bitter Triumph",2,"Instant",B,"lci","91",uncommon,Black,Owned,,false,,,"","",117986
"Candy Grapple",2,"Instant",B,"woe","83",common,Black,Owned,,false,,,"","",116476
"Infernal Grasp",2,"Instant",B,"mid","107",uncommon,Black,Owned,,false,,,"","",93174
"Poison the Cup",3,"Instant",B,"khm","103",uncommon,Black,Owned,Non-foil,false,,,"BG Control;Removal","",87535
"Baleful Mastery",4,"Instant",B,"stx","64",rare,Black,Owned,Non-foil,false,,,"BG Control;Removal","",88605
"Bloodchief's Thirst",1,"Sorcery",B,"znr","94",uncommon,Black,Owned,,false,,,"","",83151
"Divest",1,"Sorcery",B,"2xm","87",common,Black,Owned,,false,,,"","",82208
"Thoughtseize",1,"Sorcery",B,"lrw","145",rare,Black,Owned,,false,,,"BG Control;BR Aggro;Removal;Bomb","",28269
"Fell",2,"Sorcery",B,"blb","95",uncommon,Black,Owned,,false,,,"","",129435
"Drill Bit",3,"Sorcery",B,"rna","73",uncommon,Black,Owned,Non-foil,false,,,"BR Aggro;Removal","",71146
"Crippling Fear",4,"Sorcery",B,"khm","82",rare,Black,Owned,,false,,,"BG Control;Removal","",87491
"Lich-Knights' Conquest",5,"Sorcery",B,"woe","96",rare,Black,Owned,,false,,,"","",116508
"Sanguine Bond",5,"Enchantment",B,"sld","1799",rare,Black,Owned,,false,,,"","",
"Fervent Champion",1,"Creature - Human Knight",R,"eld","124",rare,Red,Owned,Non-foil,false,,,"BR Aggro;WR Aggro;WR Voltron","",78374
"Goblin Bushwhacker",1,"Creature - Goblin Warrior",R,"zen","125",common,Red,Owned,,false,,,"WR Aggro;BR Aggro;RG Midrange","",34388
"Greasewrench Goblin",1,"Creature - Goblin Artificer",R,"dft","132",uncommon,Red,Owned,,false,,,"","",136387
"Monastery Swiftspear",1,"Creature - Human Monk",R,"ktk","118",uncommon,Red,Owned,,false,,,"WR Aggro;UR Spellslinger;BR Aggro;RG Midrange","",54108
"Norin, Swift Survivalist",1,"Legendary Creature - Human Coward",R,"dsk","297",uncommon,Red,Owned,,false,,,"","",129961
"Phoenix Chick",1,"Creature - Phoenix",R,"dmu","140",uncommon,Red,Owned,,false,,,"","",102756
"Rabbit Battery",1,"Artifact Creature - Equipment Rabbit",R,"neo","157",uncommon,Red,Owned,,false,,,"","",97246
"Reinforced Ronin",1,"Artifact Creature - Human Samurai",R,"neo","323",uncommon,Red,Owned,Non-foil,false,,,"WR Aggro;BR Aggro;RG Midrange","",
"Champion of the Flame",2,"Creature - Human Warrior",R,"dom","116",uncommon,Red,Owned,,false,,,"WR Voltron","",67697
"Draconautics Engineer",2,"Creature - Goblin Artificer",R,"dft","121",rare,Red,Owned,,false,,,"","",136365
"Dreadhorde Arcanist",2,"Creature - Zombie Wizard",R,"j25","539",rare,Red,Owned,,false,,,"","",
"Electrostatic Infantry",2,"Creature - Dwarf Wizard",R,"dmu","122",uncommon,Red,Owned,,false,,,"","",102720
"Goro-Goro, Disciple of Ryusei",2,"Legendary Creature - Goblin Samurai",R,"neo","145",rare,Red,Owned,Non-foil,false,,,"WR Aggro;WR Voltron;BR Aggro;RG Midrange","",97220
"Inti, Seneschal of the Sun",2,"Legendary Creature - Human Knight",R,"lci","156",rare,Red,Owned,,false,,,"","",118132
"Lizard Blades",2,"Artifact Creature - Equipment Lizard",R,"neo","153",rare,Red,Owned,,false,,,"","",97238
"Party Thrasher",2,"Creature - Lizard Wizard",R,"mh3","334",rare,Red,Owned,,false,,,"","",125835
"Radha's Firebrand",2,"Creature - Human Warrior",R,"dmu","141",rare,Red,Owned,,false,,,"WR Aggro;WR Voltron;BR Aggro;RG Midrange","",102758
"Rimrock Knight",2,"Creature - Dwarf Knight",R,"eld","137",common,Red,Owned,Non-foil,false,,,"WR Aggro;WR Voltron;BR Aggro;RG Midrange;Card Advantage","",78402
"Young Pyromancer",2,"Creature - Human Shaman",R,"jmp","372",uncommon,Red,Owned,Non-foil,false,,,"UR Spellslinger","",
"Bonecrusher Giant",3,"Creature - Giant",R,"eld","115",rare,Red,Owned,,false,,,"WR Aggro;UR Spellslinger;BR Aggro;RG Midrange;Removal;Card Advantage;Bomb","",78352
"Combat Celebrant",3,"Creature - Human Warrior",R,"j25","531",mythic,Red,Owned,,false,,,"","",
"Laelia, the Blade Reforged",3,"Legendary Creature - Spirit Warrior",R,"clb","801",rare,Red,Owned,Non-foil,false,,,"WR Aggro;BR Aggro;RG Midrange;Card Advantage;Bomb","",101148
"Reckless Bushwhacker",3,"Creature - Goblin Warrior Ally",R,"ogw","116",uncommon,Red,Owned,,false,,,"WR Aggro;BR Aggro;RG Midrange","",59273
"Squee, Dubious Monarch",3,"Legendary Creature - Goblin Noble",R,"dmu","146",rare,Red,Owned,,false,,,"WR Aggro;BR Aggro;RG Midrange","",102768
"Twinscroll Shaman",3,"Creature - Dwarf Shaman",R,"stx","118",common,Red,Owned,Non-foil,false,,,"WR Voltron","",88713
"Flametongue Kavu",4,"Creature - Kavu",R,"dmr","432",uncommon,Red,Owned,,false,,,"WR Aggro;BR Aggro;UR Spellslinger;RG Midrange;Removal","",108093
"Hazoret the Fervent",4,"Legendary Creature - God",R,"akh","136",mythic,Red,Owned,,false,,,"WR Aggro;WR Voltron;BR Aggro;RG Midrange","",63874
"Hellrider",4,"Creature - Devil",R,"dka","93",rare,Red,Owned,,false,,,"WR Aggro;BR Aggro;RG Midrange","",43185
"Manaform Hellkite",4,"Creature - Dragon",R,"vow","170",mythic,Red,Owned,,false,,,"","",94684
"Wild-Magic Sorcerer",4,"Creature - Orc Shaman",R,"clb","816",rare,Red,Owned,,false,,,"","",101178
"Glorybringer",5,"Creature - Dragon",R,"akh","134",rare,Red,Owned,,false,,,"WR Aggro;BR Aggro;RG Midrange;Removal","",63870
"Goldspan Dragon",5,"Creature - Dragon",R,"khm","139",mythic,Red,Owned,Non-foil,false,,,"UR Spellslinger;RG Midrange;Bomb","",87613
"Infuriate",1,"Instant",R,"sta","41",uncommon,Red,Owned,Non-foil,false,,,"WR Voltron","",89139
"Lightning Bolt",1,"Instant",R,"plst","A25-141",uncommon,Red,Owned,Non-foil,false,,,"WR Aggro;UR Spellslinger;BR Aggro;RG Midrange;Removal;Bomb","",
"Play with Fire",1,"Instant",R,"mid","154",uncommon,Red,Owned,,false,,,"","",93280
"Shock",1,"Instant",R,"aer","98",common,Red,Owned,Non-foil,false,,,"WR Aggro;UR Spellslinger;BR Aggro;RG Midrange;Removal","",62923
"Abrade",2,"Instant",R,"hou","83",uncommon,Red,Owned,,false,,,"","",64650
"Galvanize",2,"Instant",R,"mkm","128",common,Red,Owned,,false,,,"","",121734
"Lightning Strike",2,"Instant",R,"dmu","137",common,Red,Owned,,false,,,"UR Spellslinger;Removal","",102750
"Twinferno",2,"Instant",R,"dmu","149",uncommon,Red,Owned,,false,,,"","",102774
"Unleash Fury",2,"Instant",R,"m21","170",uncommon,Red,Owned,,false,,,"WR Voltron","",81567
"You Come to the Gnoll Camp",2,"Instant",R,"afr","168",common,Red,Owned,Non-foil,false,,,"WR Aggro;BR Aggro;WR Voltron;RG Midrange","",91838
"Mizzium Mortars",2,"Sorcery",R,"rtr","101",rare,Red,Owned,,false,,,"","",46473
"Reckless Impulse",2,"Sorcery",R,"vow","174",common,Red,Owned,Non-foil,false,,,"WR Aggro;UR Spellslinger;BR Aggro;RG Midrange;Card Advantage","",94692
"Shatterskull Smashing // Shatterskull, the Hammer Pass",2,"Sorcery",R,"znr","161",mythic,Red,Owned,Non-foil,false,,,"UR Spellslinger;RG Midrange","",83297
"Light Up the Stage",3,"Sorcery",R,"afc","131",uncommon,Red,Owned,Non-foil,false,,,"WR Aggro;BR Aggro;RG Midrange;Card Advantage","",
"Skewer the Critics",3,"Sorcery",R,"rna","115",common,Red,Owned,,false,,,"","",71230
"Chain Reaction",4,"Sorcery",R,"wwk","74",rare,Red,Owned,,false,,,"UR Spellslinger;Removal","",35637
"Fiery Confluence",4,"Sorcery",R,"c15","26",rare,Red,Owned,,false,,,"","",
"Dueling Rapier",1,"Artifact - Equipment",R,"afr","140",common,Red,Owned,,false,,,"WR Voltron","",91782
"Embercleave",6,"Legendary Artifact - Equipment",R,"eld","120",mythic,Red,Owned,,false,,,"WR Aggro;WR Voltron;BR Aggro;RG Midrange;Bomb","",78364
"Birds of Paradise",0,"Creature - Bird",G,"sld","1675",rare,Green,Owned,,false,,,"","",
"Experiment One",1,"Creature - Human Ooze",G,"2x2","146",common,Green,Owned,,false,,,"UG Ramp Control;RG Midrange","",101776
"Gilded Goose",1,"Creature - Bird",G,"eld","160",rare,Green,Owned,Non-foil,false,,,"UG Ramp Control;BG Lifegain;BG Control;RG Midrange","",78458
"Llanowar Elves",1,"Creature - Elf Druid",G,"m12","182",common,Green,Owned,Non-foil,false,,,"UG Ramp Control;BG Control;RG Midrange","",41605
"Pelt Collector",1,"Creature - Elf Warrior",G,"grn","141",rare,Green,Owned,,false,,,"","",69655
"Devoted Druid",2,"Creature - Elf Druid",G,"plst","UMA-162",uncommon,Green,Owned,,false,,,"UG Ramp Control;BG Control","",
"Gala Greeters",2,"Creature - Elf Druid",G,"snc","148",rare,Green,Owned,,false,,,"","",98515
"Lotus Cobra",2,"Creature - Snake",G,"zen","168",mythic,Green,Owned,,false,,,"","",34546
"Quirion Beastcaller",2,"Creature - Dryad Warrior",G,"dmu","175",rare,Green,Owned,,false,,,"","",102826
"Sakura-Tribe Elder",2,"Creature - Snake Shaman",G,"c15","200",common,Green,Owned,Non-foil,false,,,"UG Ramp Control;BG Control;RG Midrange","",
"Scavenging Ooze",2,"Creature - Ooze",G,"cmd","170",rare,Green,Owned,,false,,,"RG Midrange","",40630
"Sharp-Eyed Rookie",2,"Creature - Human Detective",G,"mkm","176",rare,Green,Owned,,false,,,"","",121828
"Tough Cookie",2,"Artifact Creature - Food Golem",G,"j25","731",uncommon,Green,Owned,,false,,,"","",
"Voracious Hydra",2,"Creature - Hydra",G,"m20","200",rare,Green,Owned,,false,,,"","",73299
"Wildborn Preserver",2,"Creature - Elf Archer",G,"eld","182",rare,Green,Owned,,false,,,"RG Midrange","",78508
